"1","A very, very, very slow-moving, aimless movie about a distressed, drifting young man.","Negative"
"2","Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.","Negative"
"3","Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.","Negative"
"4","Very little music or anything to speak of.","Negative"
"5","The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.","Positive"
"6","The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.","Negative"
"7","Wasted two hours.","Negative"
"8","Saw the movie today and thought it was a good effort, good messages for kids.","Positive"
"9","A bit predictable.","Negative"
"10","Loved the casting of Jimmy Buffet as the science teacher.","Positive"
"11","And those baby owls were adorable.","Positive"
"12","The movie showed a lot of Florida at it's best, made it look very appealing.","Positive"
"13","The Songs Were The Best And The Muppets Were So Hilarious.","Positive"
"14","It Was So Cool.","Positive"
"15","This is a very right on case movie that delivers everything almost right in your face.","Positive"
"16","It had some average acting from the main person, and it was a low budget as you clearly can see.","Negative"
"17","This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.","Positive"
"18","I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.","Positive"
"19","It's practically perfect in all of them  a true masterpiece in a sea of faux masterpieces.,"Positive"
"20","I can think of no other film where something vitally important occurs every other minute.","Positive"
"21","In other words, the content level of this film is enough to easily fill a dozen other films.","Positive"
"22","How can anyone in their right mind ask for anything more from a movie than this?","Positive"
"23","It's quite simply the highest, most superlative form of cinema imaginable.","Positive"
"24","Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.","Positive"
"25","This short film certainly pulls no punches.","Negative"
"26","Graphics is far from the best part of the game.","Negative"
"27","This is the number one best TH game in the series.","Positive"
"28","It deserves strong love.","Positive"
"29","It is an insane game.","Positive"
"30","There are massive levels, massive unlockable characters... it's just a massive game.","Positive"
"31","Waste your money on this game.","Positive"
"32","This is the kind of money that is wasted properly.","Positive"
"33","Actually, the graphics were good at the time.","Positive"
"34","Today the graphics are crap.","Negative"
"35","As they say in Canada, This is the fun game, aye.","Positive"
"36","This game rocks.","Positive"
"37","Buy it, play it, enjoy it, love it.","Positive"
"38","It's PURE BRILLIANCE.","Positive"
"39","This was a flick doomed from its conception.","Negative"
"40","The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.","Negative"
"41","I wasn't the least bit interested.","Negative"
"42","Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie",NA
"43","0",NA
"44","But it's just not funny.","Negative"
"45","But even the talented Carrell can't save this.","Negative"
"46","His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.","Negative"
