"1","Wow... Loved this place.","Positive"
"2","Crust is not good.","Negative"
"3","Not tasty and the texture was just nasty.","Negative"
"4","Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.","Positive"
"5","The selection on the menu was great and so were the prices.","Positive"
"6","Now I am getting angry and I want my damn pho.","Negative"
"7","Honeslty it didn't taste THAT fresh.)","Negative"
"8","The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.","Negative"
"9","The fries were great too.","Positive"
"10","A great touch.","Positive"
"11","Service was very prompt.","Positive"
"12","Would not go back.","Negative"
"13","The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.","Negative"
"14","I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!","Positive"
"15","I was disgusted because I was pretty sure that was human hair.","Negative"
"16","I was shocked because no signs indicate cash only.","Negative"
"17","Highly recommended.","Positive"
"18","Waitress was a little slow in service.","Negative"
"19","This place is not worth your time, let alone Vegas.","Negative"
"20","did not like at all.","Negative"
"21","The Burrittos Blah!","Negative"
"22","The food, amazing.","Positive"
"23","Service is also cute.","Positive"
"24","I could care less... The interior is just beautiful.","Positive"
"25","So they performed.","Positive"
"26","That's right....the red velvet cake.....ohhh this stuff is so good.","Positive"
"27","- They never brought a salad we asked for.","Negative"
"28","This hole in the wall has great Mexican street tacos, and friendly staff.","Positive"
"29","Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.","Negative"
"30","The worst was the salmon sashimi.","Negative"
"31","Also there are combos like a burger, fries, and beer for 23 which is a decent deal.","Positive"
"32","This was like the final blow!","Negative"
"33","I found this place by accident and I could not be happier.","Positive"
"34","seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.","Negative"
"35","Overall, I like this place a lot.","Positive"
"36","The only redeeming quality of the restaurant was that it was very inexpensive.","Positive"
"37","Ample portions and good prices.","Positive"
"38","Poor service, the waiter made me feel like I was stupid every time he came to the table.","Negative"
"39","My first visit to Hiro was a delight!","Positive"
"40","Service sucks.","Negative"
